year,doy,hod,coszen,PPFD,Tair,precip,VPD,Patm,u,Qle,NEE,GPP,LAI,CO2,O2,Vmax25,gamstar25,Tref,JV,Rlref,TRlref,Kc25,Ko25,alpha,c1,c2,c3,c4,eps_l,eps_s,albedo_l,albedo_ws,albedo_ds,tau_l,chi_l,kn,Ev,Ej,Egamstar,Ec,Eo,deltaSv,deltaSj,Hdv,Hdj,max_leaf_width,canopy_intercept,P50,P88,ratiocrit,kmax,sfw,nfc,npwp,g1,ground_area,Ztop,Zbottom,Ps,Psie,hyds,theta_sat,fc,pwp,bch,r_soil
[-],[-],[h],[-],[umol m-2 s-1],[deg C],[mm d-1],[kPa],[kPa],[m s-1],[W m-2],[umol m-2 s-1],[umol m-2 s-1],[m2 m-2],[Pa],[kPa],[umol s-1 m-2],[Pa],[deg C],[-],[umol s-1 m-2],[deg C],[Pa],[Pa],[mol(photon) mol(e-)-1],[-],[-],[-],[-],[-],[-],[-],[-],[-],[-],[-],[-],[J mol-1],[J mol-1],[J mol-1],[J mol-1],[J mol-1],[J mol-1 K-1],[J mol-1 K-1],[J mol-1],[J mol-1],[m],[-],[-MPa],[-MPa],[-],[mmol m-2 s-1 MPa-1],[-],[m3 m-3],[m3 m-3],[kPa0.5],[m2],[m],[m],[MPa],[MPa],[m s-1],[m3 m-3],[m3 m-3],[m3 m-3],[-],[-]
2003,1,14.5,0.280907948832142,0.0,15.100006,0.0,0.064399205,100.25098,2.966,9.015768,1.3396238999999999,1.4781697,1.4960359414510611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,1,15.0,0.2123530752718524,0.0,15.100006,0.0,0.05,100.25098,2.4290000000000003,9.519988,2.473848,0.34394562,1.4960359414510611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,1,15.5,0.1359848394419728,0.0,15.0,0.0,0.05,100.2506,3.053,3.9421180000000002,2.3916638,0.420968,1.4960359414510611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,1,16.0,0.053109923030827205,0.0,15.0,0.0,0.058902826,100.2506,2.503,3.8649125,2.385454,0.42717788,1.4960359414510611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,1,16.5,0.0,0.0,14.899994,0.0,0.053660303,100.25024,2.625,4.039874,2.3895478,0.41791385,1.4960359414510611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,1,17.0,0.0,0.0,14.899994,0.0,0.05,100.25024,1.614,4.1302547,2.3983676,0.40909409999999996,1.4960359414510611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,1,17.5,0.0,0.0,14.600006,0.0,0.05,100.24911999999999,1.9969999999999999,4.2720194000000005,2.4334567000000003,0.3584509,1.4960359414510611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,1,18.0,0.0,0.0,14.600006,0.0,0.06224065,100.24911999999999,2.057,4.2720194000000005,2.4211457000000003,0.3707618,1.4960359414510611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,1,18.5,0.0,0.0,14.5,0.0,0.08970395,100.24875,2.556,8.111373,2.363117,0.4235915,1.4960359414510611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,1,19.0,0.0,0.0,14.5,0.0,0.08517825,100.24875,2.52,8.111373,2.3649695,0.42173879999999997,1.4960359414510611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,1,19.5,0.0,0.0,14.300018,0.0,0.07973005,100.24799999999999,1.758,7.9999504,2.3883544999999997,0.38793167,1.4960359414510611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,1,20.0,0.0,0.0,14.300018,0.0,0.0861051,100.24799999999999,1.5419999999999998,7.9999504,2.3858892999999997,0.39039677,1.4960359414510611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,1,20.5,0.0,0.0,14.100006,0.0,0.10598429,100.24726,2.249,7.9999504,2.3809235,0.3849111,1.4960359414510611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,1,21.0,0.0,0.0,14.100006,9.6,0.09600539999999999,100.24726,2.073,7.9999504,2.3839664000000003,0.38186818,1.4960359414510611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,1,21.5,0.0,0.0,14.0,0.0,0.050083052,100.24689000000001,2.217,8.185865,2.4019678,0.35862967,1.4960359414510611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
